lon,lat,extrapolacao,cenario,classe
-63.083333333333336,2.7500000000000027,1,ssp126,Com extrapolação
-62.91666666666667,2.7500000000000027,1,ssp126,Com extrapolação
-62.75,2.7500000000000027,0,ssp126,Sem extrapolação
-62.583333333333336,2.7500000000000027,1,ssp126,Com extrapolação
-62.41666666666667,2.7500000000000027,0,ssp126,Sem extrapolação
-62.25,2.7500000000000027,0,ssp126,Sem extrapolação
-62.083333333333336,2.7500000000000027,0,ssp126,Sem extrapolação
-61.91666666666667,2.7500000000000027,0,ssp126,Sem extrapolação
-61.75,2.7500000000000027,0,ssp126,Sem extrapolação
-61.583333333333336,2.7500000000000027,0,ssp126,Sem extrapolação
-61.41666666666667,2.7500000000000027,1,ssp126,Com extrapolação
-61.25,2.7500000000000027,1,ssp126,Com extrapolação
-61.083333333333336,2.7500000000000027,1,ssp126,Com extrapolação
-60.91666666666667,2.7500000000000027,1,ssp126,Com extrapolação
-60.75,2.7500000000000027,1,ssp126,Com extrapolação
-60.583333333333336,2.7500000000000027,1,ssp126,Com extrapolação
-60.41666666666667,2.7500000000000027,1,ssp126,Com extrapolação
-60.25,2.7500000000000027,1,ssp126,Com extrapolação
-60.083333333333336,2.7500000000000027,1,ssp126,Com extrapolação
-52.25,2.7500000000000027,0,ssp126,Sem extrapolação
-52.083333333333336,2.7500000000000027,0,ssp126,Sem extrapolação
-51.91666666666667,2.7500000000000027,0,ssp126,Sem extrapolação
-51.75,2.7500000000000027,0,ssp126,Sem extrapolação
-51.583333333333336,2.7500000000000027,0,ssp126,Sem extrapolação
-51.41666666666667,2.7500000000000027,0,ssp126,Sem extrapolação
-51.25,2.7500000000000027,0,ssp126,Sem extrapolação
-51.083333333333336,2.7500000000000027,0,ssp126,Sem extrapolação
-63.91666666666667,2.5833333333333357,1,ssp126,Com extrapolação
-63.75,2.5833333333333357,1,ssp126,Com extrapolação
-63.583333333333336,2.5833333333333357,1,ssp126,Com extrapolação
-63.41666666666667,2.5833333333333357,1,ssp126,Com extrapolação
-63.25,2.5833333333333357,1,ssp126,Com extrapolação
-63.083333333333336,2.5833333333333357,1,ssp126,Com extrapolação
-62.91666666666667,2.5833333333333357,1,ssp126,Com extrapolação
-62.75,2.5833333333333357,0,ssp126,Sem extrapolação
-62.583333333333336,2.5833333333333357,1,ssp126,Com extrapolação
-62.41666666666667,2.5833333333333357,1,ssp126,Com extrapolação
-62.25,2.5833333333333357,0,ssp126,Sem extrapolação
-62.083333333333336,2.5833333333333357,0,ssp126,Sem extrapolação
-61.91666666666667,2.5833333333333357,0,ssp126,Sem extrapolação
-61.75,2.5833333333333357,0,ssp126,Sem extrapolação
-61.583333333333336,2.5833333333333357,1,ssp126,Com extrapolação
-61.41666666666667,2.5833333333333357,1,ssp126,Com extrapolação
-61.25,2.5833333333333357,1,ssp126,Com extrapolação
-61.083333333333336,2.5833333333333357,1,ssp126,Com extrapolação
-60.91666666666667,2.5833333333333357,1,ssp126,Com extrapolação
-60.75,2.5833333333333357,1,ssp126,Com extrapolação
-60.583333333333336,2.5833333333333357,1,ssp126,Com extrapolação
-60.41666666666667,2.5833333333333357,1,ssp126,Com extrapolação
-60.25,2.5833333333333357,1,ssp126,Com extrapolação
-60.083333333333336,2.5833333333333357,1,ssp126,Com extrapolação
-52.41666666666667,2.5833333333333357,0,ssp126,Sem extrapolação
-52.25,2.5833333333333357,0,ssp126,Sem extrapolação
-52.083333333333336,2.5833333333333357,0,ssp126,Sem extrapolação
-51.91666666666667,2.5833333333333357,0,ssp126,Sem extrapolação
-51.75,2.5833333333333357,0,ssp126,Sem extrapolação
-51.583333333333336,2.5833333333333357,0,ssp126,Sem extrapolação
-51.41666666666667,2.5833333333333357,0,ssp126,Sem extrapolação
-51.25,2.5833333333333357,0,ssp126,Sem extrapolação
-51.083333333333336,2.5833333333333357,0,ssp126,Sem extrapolação
-63.25,2.416666666666669,1,ssp126,Com extrapolação
-63.083333333333336,2.416666666666669,1,ssp126,Com extrapolação
-62.91666666666667,2.416666666666669,1,ssp126,Com extrapolação
-62.75,2.416666666666669,1,ssp126,Com extrapolação
-62.583333333333336,2.416666666666669,1,ssp126,Com extrapolação
-62.41666666666667,2.416666666666669,0,ssp126,Sem extrapolação
-62.25,2.416666666666669,0,ssp126,Sem extrapolação
-62.083333333333336,2.416666666666669,0,ssp126,Sem extrapolação
-61.91666666666667,2.416666666666669,0,ssp126,Sem extrapolação
-61.75,2.416666666666669,0,ssp126,Sem extrapolação
-61.583333333333336,2.416666666666669,1,ssp126,Com extrapolação
-61.41666666666667,2.416666666666669,1,ssp126,Com extrapolação
-61.25,2.416666666666669,1,ssp126,Com extrapolação
-61.083333333333336,2.416666666666669,0,ssp126,Sem extrapolação
-60.91666666666667,2.416666666666669,1,ssp126,Com extrapolação
-60.75,2.416666666666669,1,ssp126,Com extrapolação
-60.583333333333336,2.416666666666669,1,ssp126,Com extrapolação
-60.41666666666667,2.416666666666669,1,ssp126,Com extrapolação
-60.25,2.416666666666669,1,ssp126,Com extrapolação
-60.083333333333336,2.416666666666669,1,ssp126,Com extrapolação
-55.25,2.416666666666669,0,ssp126,Sem extrapolação
-55.083333333333336,2.416666666666669,0,ssp126,Sem extrapolação
-52.41666666666667,2.416666666666669,0,ssp126,Sem extrapolação
-52.25,2.416666666666669,0,ssp126,Sem extrapolação
-52.083333333333336,2.416666666666669,0,ssp126,Sem extrapolação
-51.91666666666667,2.416666666666669,0,ssp126,Sem extrapolação
-51.75,2.416666666666669,0,ssp126,Sem extrapolação
-51.583333333333336,2.416666666666669,0,ssp126,Sem extrapolação
-51.41666666666667,2.416666666666669,0,ssp126,Sem extrapolação
-51.25,2.416666666666669,0,ssp126,Sem extrapolação
-51.083333333333336,2.416666666666669,0,ssp126,Sem extrapolação
-50.91666666666667,2.416666666666669,1,ssp126,Com extrapolação
-63.25,2.2500000000000027,1,ssp126,Com extrapolação
-63.083333333333336,2.2500000000000027,1,ssp126,Com extrapolação
-62.91666666666667,2.2500000000000027,1,ssp126,Com extrapolação
-62.75,2.2500000000000027,1,ssp126,Com extrapolação
-62.583333333333336,2.2500000000000027,0,ssp126,Sem extrapolação
-62.41666666666667,2.2500000000000027,0,ssp126,Sem extrapolação
-62.25,2.2500000000000027,0,ssp126,Sem extrapolação
-62.083333333333336,2.2500000000000027,0,ssp126,Sem extrapolação
-61.91666666666667,2.2500000000000027,0,ssp126,Sem extrapolação
-61.75,2.2500000000000027,0,ssp126,Sem extrapolação
-61.583333333333336,2.2500000000000027,1,ssp126,Com extrapolação
-61.41666666666667,2.2500000000000027,1,ssp126,Com extrapolação
-61.25,2.2500000000000027,1,ssp126,Com extrapolação
-61.083333333333336,2.2500000000000027,1,ssp126,Com extrapolação
-60.91666666666667,2.2500000000000027,1,ssp126,Com extrapolação
-60.75,2.2500000000000027,1,ssp126,Com extrapolação
-60.583333333333336,2.2500000000000027,1,ssp126,Com extrapolação
-60.41666666666667,2.2500000000000027,1,ssp126,Com extrapolação
-60.25,2.2500000000000027,1,ssp126,Com extrapolação
-60.083333333333336,2.2500000000000027,1,ssp126,Com extrapolação
-55.91666666666667,2.2500000000000027,0,ssp126,Sem extrapolação
-55.75,2.2500000000000027,1,ssp126,Com extrapolação
-55.583333333333336,2.2500000000000027,1,ssp126,Com extrapolação
-55.41666666666667,2.2500000000000027,1,ssp126,Com extrapolação
-55.25,2.2500000000000027,0,ssp126,Sem extrapolação
-55.083333333333336,2.2500000000000027,0,ssp126,Sem extrapolação
-54.91666666666667,2.2500000000000027,0,ssp126,Sem extrapolação
-54.75,2.2500000000000027,0,ssp126,Sem extrapolação
