limiar,sensibilidade,especificidade,acuracia,TSS,TP,TN,FP,FN
0.77,0,1,0.8978494623655914,0,0,334,0,38
0.78,0,1,0.8978494623655914,0,0,334,0,38
0.79,0,1,0.8978494623655914,0,0,334,0,38
0.8,0,1,0.8978494623655914,0,0,334,0,38
0.81,0,1,0.8978494623655914,0,0,334,0,38
0.8200000000000001,0,1,0.8978494623655914,0,0,334,0,38
0.8300000000000001,0,1,0.8978494623655914,0,0,334,0,38
0.8400000000000001,0,1,0.8978494623655914,0,0,334,0,38
0.85,0,1,0.8978494623655914,0,0,334,0,38
0.86,0,1,0.8978494623655914,0,0,334,0,38
0.87,0,1,0.8978494623655914,0,0,334,0,38
0.88,0,1,0.8978494623655914,0,0,334,0,38
0.89,0,1,0.8978494623655914,0,0,334,0,38
0.9,0,1,0.8978494623655914,0,0,334,0,38
0.91,0,1,0.8978494623655914,0,0,334,0,38
0.92,0,1,0.8978494623655914,0,0,334,0,38
0.93,0,1,0.8978494623655914,0,0,334,0,38
0.9400000000000001,0,1,0.8978494623655914,0,0,334,0,38
0.9500000000000001,0,1,0.8978494623655914,0,0,334,0,38
0.9600000000000001,0,1,0.8978494623655914,0,0,334,0,38
0.97,0,1,0.8978494623655914,0,0,334,0,38
0.98,0,1,0.8978494623655914,0,0,334,0,38
0.99,0,1,0.8978494623655914,0,0,334,0,38
