lon,lat,pa,tipo,bio4_sazonalidade_temperatura,bio5_temp_max_mes_quente,bio12_precipitacao_anual,bio14_precipitacao_mes_seco,bio18_precipitacao_trimestre_quente,elevacao,declividade,bio4_sazonalidade_temperatura_z,bio5_temp_max_mes_quente_z,bio12_precipitacao_anual_z,bio14_precipitacao_mes_seco_z,bio18_precipitacao_trimestre_quente_z,elevacao_z,declividade_z,treino
-68.25,-8.25,0,Background,68.018218994140625,31.429500579833984,2152,37,691,189,0.03618091344833374,1.1563651963942234,-1.2251987653249536,-0.07702609962129281,-0.2587912593914369,2.0913306602015864,0.25277555569125487,-0.350341388643394,FALSE
-53.75,-11.916666666666664,0,Background,83.9722671508789,34.645999908447266,1824,1,453,321,0.0612068809568882,2.196009513428037,1.9926122162087605,-1.1112694620079149,-1.1739404098396067,0.5917990572190167,1.4177622611874436,0.007635855924211409,FALSE
-60.916666666666664,-12.583333333333332,0,Background,81.84514617919922,33.361751556396484,1644,8,404,310,0.09345193952322006,2.057395839448608,0.7078401618563671,-1.6788420389274026,-0.9959947416969069,0.28307196248731115,1.320680035729428,0.4688766536096905,FALSE
-50.916666666666664,-10.583333333333332,0,Background,61.60426712036133,34.18975067138672,1751,5,444,212,0.0839366540312767,0.738400517474368,1.536176925745711,-1.341451673758596,-1.072257170900921,0.5350940806356422,0.45576566346710595,0.3327678026525534,FALSE
-58.08333333333333,-8.583333333333332,0,Background,36.09477233886719,34.44725036621094,2027,8,286,180,0.1448667049407959,-0.9239237415120823,1.7937816261030328,-0.47117372248204814,-0.9959947416969069,-0.46039328605026547,0.17334464395287835,1.204325384931756,FALSE
-69.25,-9.583333333333332,0,Background,83.22186279296875,31.25900077819824,1976,31,665,232,0.02426789328455925,2.147109471350052,-1.3957680948977207,-0.6319859526092364,-0.41131611779946514,1.9275162834051713,0.6322788006634982,-0.5207479925538553,FALSE
-54.75,-9.25,0,Background,66.4519271850586,34.498748779296875,2238,10,156,568,0.12426327168941498,1.0542979115188804,1.8453010396733545,0.19414746490690687,-0.9451531222275642,-1.2794651700323414,3.5976995055628875,0.9096090962831439,FALSE
-61.75,-12.416666666666664,0,Background,72.85692596435547,32.46699905395508,1612,8,399,392,0.265316367149353,1.4716791627276578,-0.18727721077868467,-1.779743830379756,-0.9959947416969069,0.2515691977187698,2.0443838982346363,2.9272652941192545,FALSE
-63.58333333333333,-9.916666666666666,0,Background,50.54866027832031,33.161251068115234,2075,12,494,172,0.08145702630281448,0.017962750722762943,0.5072579116892486,-0.31982103530351813,-0.8943115027582215,0.850121728321056,0.10273938907432145,0.297298632420277,FALSE
-68.41666666666666,-8.416666666666666,0,Background,71.567535400390625,31.328998565673828,2165,38,699,205,0.01005611661821603,1.3876561261231892,-1.325741763097079,-0.036034746843774244,-0.23337044965676548,2.1417350838312528,0.39398606544836867,-0.7240365427243417,FALSE
-51.916666666666664,-10.083333333333332,0,Background,44.91640853881836,34.73249816894531,1948,5,512,282,0.04906769841909408,-0.34906249926708977,2.079145749742615,-0.7202750201300455,-1.072257170900921,0.9635316814878051,1.0735616436544788,-0.16600582704757857,FALSE
-64.08333333333333,-8.583333333333332,0,Background,45.936767578125,33.08250045776367,2208,24,507,97,0.02130779437720775,-0.2825708812070558,0.4284751877080843,0.0995520354203256,-0.5892617859421648,0.9320289167192637,-0.5591848754121495,-0.5630899339848533,FALSE
-61.25,-10.25,0,Background,48.52188873291016,32.847999572753906,2098,11,246,229,0.07329538464546204,-0.11411166063731226,0.19387867582598234,-0.24729787269713913,-0.9197323124928928,-0.7124154041985965,0.6058018300840393,0.18055261688067742,FALSE
-53.25,-8.75,0,Background,37.101776123046875,34.35649871826172,2033,10,366,317,0.1004071608185768,-0.8583024176218331,1.7029929706335551,-0.4522546365847319,-0.9451531222275642,0.043650950246396654,1.3824596337481652,0.5683657524354866,FALSE
-57.75,-10.416666666666666,0,Background,48.50699615478515,33.88874816894531,2079,2,301,387,0.20592428743839264,-0.11508213434163751,1.235051677806467,-0.30720831137197396,-1.1485196001049351,-0.36588499174464134,2.000255613935538,2.0777072086305846,FALSE
-59.916666666666664,-9.916666666666666,0,Background,45.79316329956055,33.71099853515625,2007,8,237,211,0.07694105058908463,-0.291928842938431,1.0572295596788597,-0.534237342139769,-0.9959947416969069,-0.7691203807819711,0.44694000660728633,0.23270106823089481,FALSE
-66.25,-8.083333333333332,0,Background,49.55220413208008,32.291500091552734,2205,29,526,119,0.01680492423474788,-0.04697123715507425,-0.3628477397206264,0.09009249247166747,-0.46215773726880793,1.051739422839721,-0.365020424496118,-0.6275000330426631,FALSE
-58.58333333333333,-11.083333333333332,0,Background,59.77335357666016,34.06999969482422,1946,4,441,296,0.13085168600082395,0.6190891776822035,1.4163771160568566,-0.7265813820958177,-1.0976779806355925,0.5161924217745174,1.1971208396919535,1.0038513029215792,FALSE
-54.25,-10.916666666666666,0,Background,49.53651428222656,35.080501556396484,2094,2,301,336,0.0836649090051651,-0.047993665010065516,2.427291049133706,-0.25991059662868327,-1.1485196001049351,-0.36588499174464134,1.5501471140847378,0.32888069876179943,FALSE
-63.08333333333333,-12.583333333333332,0,Background,72.8406753540039,33.09450149536133,1542,8,373,144,0.0135352062061429,1.4706201929580824,0.4404811191963977,-2.000466499181779,-0.9959947416969069,0.08775482092235459,-0.1443790030006277,-0.6742708382070562,FALSE
-54.58333333333333,-11.583333333333332,0,Background,62.192264556884766,34.188751220703125,1866,0,474,361,0.03473904356360435,0.7767173250523778,1.535177067497161,-0.978835860726701,-1.199361219574278,0.7241106692468905,1.7707885355802282,-0.370966229948091,FALSE
-54.416666666666664,-12.083333333333332,0,Background,78.28621673583984,33.827999114990234,1789,1,441,349,0.02075455337762832,1.825478476898203,1.1742778510577732,-1.2216307964089264,-1.1739404098396067,0.5161924217745174,1.6648806532623928,-0.5710036215792919,FALSE
-64.91666666666666,-10.416666666666666,0,Background,61.25889205932617,33.587501525878906,1774,20,413,175,0.06906522810459137,0.7158941782730065,0.9336821896843714,-1.268928511152217,-0.6909450248808503,0.3397769390706857,0.12921635965378028,0.12004347644193548,FALSE
-54.416666666666664,-8.083333333333332,0,Background,47.01729202270508,34.22050094604492,2092,11,333,318,0.03803981468081474,-0.21215858915506408,1.5669397400264786,-0.2662169585944554,-0.9197323124928928,-0.16426729722597647,1.391285290607985,-0.323751234200837,FALSE
-68.41666666666666,-9.583333333333332,0,Background,87.228607177734375,31.480749130249023,1863,39,588,198,0.06262724101543427,2.408208660001389,-1.1739293163167697,-0.9882954036753592,-0.2079496399220941,1.442373705969634,0.3322064674296314,0.027953015685503402,FALSE
-53.25,-11.25,0,Background,65.57073974609375,34.9375,1991,2,509,295,0.00200568558648228,0.9968754000558916,2.2842311782810656,-0.5846882378659457,-1.1485196001049351,0.9446300226266802,1.1882951828321338,-0.8391917756773335,FALSE
-52.08333333333333,-12.083333333333332,0,Background,86.64508819580078,34.05799865722656,1638,2,413,318,0.03460492193698883,2.3701836905711446,1.4043711845685432,-1.6977611248247189,-1.1485196001049351,0.3397769390706857,1.391285290607985,-0.37288473680766937,FALSE
-64.41666666666666,-8.416666666666666,0,Background,44.30713653564453,32.96699905395508,2207,24,515,97,0.00894686765968799,-0.38876566233921245,0.3129266837019957,0.09639885443743956,-0.5892617859421648,0.9824333403489299,-0.5591848754121495,-0.739903497141893,FALSE
-61.916666666666664,-11.083333333333332,0,Background,58.77508544921875,33.903499603271484,2058,12,308,178,0.07089131325483322,0.5540371121892137,1.2498091276047214,-0.37342511201258083,-0.8943115027582215,-0.3217811210686834,0.15569333023323914,0.1461642220317294,FALSE
-67.08333333333333,-9.75,0,Background,73.5902099609375,32.52975082397461,1850,22,453,161,0.01607298478484153,1.5194635577807944,-0.12449985128003362,-1.0292867564528778,-0.6401034054115076,0.5917990572190167,0.005657163616305718,-0.6379698647236257,FALSE
-59.75,-9.416666666666666,0,Background,40.94816970825195,33.700748443603516,2020,8,250,171,0.04819700866937637,-0.6076524764503302,1.046975288251937,-0.49324598936225045,-0.9959947416969069,-0.6872131923837634,0.09391373221450185,-0.1784603752032357,FALSE
