variavel,variavel_z,variavel_legenda,valor,valor_z,adequabilidade
bio3_isotermalidade,bio3_isotermalidade_z,Bio3 isotermalidade,71.51843955942448,-1.0785659478646956,0.30714387041335994
bio3_isotermalidade,bio3_isotermalidade_z,Bio3 isotermalidade,71.67568322405718,-1.0535981867958637,0.3018036296603763
bio3_isotermalidade,bio3_isotermalidade_z,Bio3 isotermalidade,71.8329268886899,-1.0286304257270296,0.2966685999338267
bio3_isotermalidade,bio3_isotermalidade_z,Bio3 isotermalidade,71.9901705533226,-1.0036626646581976,0.29173506905216706
bio3_isotermalidade,bio3_isotermalidade_z,Bio3 isotermalidade,72.14741421795532,-0.9786949035893635,0.28699928274928016
bio3_isotermalidade,bio3_isotermalidade_z,Bio3 isotermalidade,72.30465788258802,-0.9537271425205316,0.28245746691621376
bio3_isotermalidade,bio3_isotermalidade_z,Bio3 isotermalidade,72.46190154722072,-0.9287593814516997,0.2781058478949327
bio3_isotermalidade,bio3_isotermalidade_z,Bio3 isotermalidade,72.61914521185344,-0.9037916203828655,0.2739406709208313
bio3_isotermalidade,bio3_isotermalidade_z,Bio3 isotermalidade,72.77638887648614,-0.8788238593140336,0.26995821681615495
bio3_isotermalidade,bio3_isotermalidade_z,Bio3 isotermalidade,72.93363254111885,-0.8538560982451995,0.26615481703981136
bio3_isotermalidade,bio3_isotermalidade_z,Bio3 isotermalidade,73.09087620575156,-0.8288883371763676,0.26252686720061236
bio3_isotermalidade,bio3_isotermalidade_z,Bio3 isotermalidade,73.24811987038426,-0.8039205761075356,0.2590708391410082
bio3_isotermalidade,bio3_isotermalidade_z,Bio3 isotermalidade,73.40536353501697,-0.7789528150387015,0.25578329169717845
bio3_isotermalidade,bio3_isotermalidade_z,Bio3 isotermalidade,73.56260719964968,-0.7539850539698696,0.25266088023908456
bio3_isotermalidade,bio3_isotermalidade_z,Bio3 isotermalidade,73.71985086428239,-0.7290172929010355,0.2497003650910123
bio3_isotermalidade,bio3_isotermalidade_z,Bio3 isotermalidade,73.8770945289151,-0.7040495318322035,0.2468986189294234
bio3_isotermalidade,bio3_isotermalidade_z,Bio3 isotermalidade,74.0343381935478,-0.6790817707633716,0.24425263325069516
bio3_isotermalidade,bio3_isotermalidade_z,Bio3 isotermalidade,74.19158185818051,-0.6541140096945375,0.24175952399676973
bio3_isotermalidade,bio3_isotermalidade_z,Bio3 isotermalidade,74.34882552281321,-0.6291462486257056,0.23941653642190192
bio3_isotermalidade,bio3_isotermalidade_z,Bio3 isotermalidade,74.50606918744592,-0.6041784875568738,0.23722104927872517
bio3_isotermalidade,bio3_isotermalidade_z,Bio3 isotermalidade,74.66331285207863,-0.5792107264880395,0.23517057839682584
bio3_isotermalidade,bio3_isotermalidade_z,Bio3 isotermalidade,74.82055651671133,-0.5542429654192077,0.2332627797219688
bio3_isotermalidade,bio3_isotermalidade_z,Bio3 isotermalidade,74.97780018134405,-0.5292752043503735,0.23149545187913073
bio3_isotermalidade,bio3_isotermalidade_z,Bio3 isotermalidade,75.13504384597675,-0.5043074432815415,0.2298665383176056
bio3_isotermalidade,bio3_isotermalidade_z,Bio3 isotermalidade,75.29228751060946,-0.4793396822127097,0.22837412909166052
bio3_isotermalidade,bio3_isotermalidade_z,Bio3 isotermalidade,75.44953117524217,-0.45437192114387553,0.2270164623255994
bio3_isotermalidade,bio3_isotermalidade_z,Bio3 isotermalidade,75.60677483987487,-0.4294041600750436,0.2257919254076095
bio3_isotermalidade,bio3_isotermalidade_z,Bio3 isotermalidade,75.76401850450759,-0.4044363990062095,0.2246990559524629
bio3_isotermalidade,bio3_isotermalidade_z,Bio3 isotermalidade,75.92126216914029,-0.37946863793737756,0.22373654256900427
bio3_isotermalidade,bio3_isotermalidade_z,Bio3 isotermalidade,76.078505833773,-0.35450087686854564,0.22290322546438196
bio3_isotermalidade,bio3_isotermalidade_z,Bio3 isotermalidade,76.23574949840571,-0.3295331157997115,0.22219809691316667
