limiar,sensibilidade,especificidade,acuracia,TSS,Kappa,TP,TN,FP,FN
0.2,0.47368421052631576,0.8682634730538922,0.8279569892473119,0.341947683580208,0.2671755725190843,18,290,44,20
0.21000000000000002,0.4473684210526316,0.8832335329341318,0.8387096774193549,0.3306019539867633,0.27324824172961715,17,295,39,21
0.22,0.42105263157894735,0.8982035928143712,0.8494623655913979,0.3192562243933186,0.28006635333149027,16,300,34,22
0.23,0.42105263157894735,0.9011976047904192,0.8521505376344086,0.32225023636936667,0.28561452513966473,16,301,33,22
0.24000000000000002,0.42105263157894735,0.907185628742515,0.8575268817204301,0.3282382603214624,0.2970621791215059,16,303,31,22
0.25,0.39473684210526316,0.9221556886227545,0.8682795698924731,0.3168925307280177,0.30618148599269185,15,308,26,23
0.26,0.3684210526315789,0.9221556886227545,0.8655913978494624,0.2905767412543334,0.283954419464121,14,308,26,24
0.27,0.3684210526315789,0.9281437125748503,0.8709677419354839,0.29656476520642916,0.29656476520642905,14,310,24,24
0.28,0.3684210526315789,0.937125748502994,0.8790322580645161,0.305546801134573,0.31662312214239063,14,313,21,24
0.29000000000000004,0.3684210526315789,0.937125748502994,0.8790322580645161,0.305546801134573,0.31662312214239063,14,313,21,24
0.3,0.3684210526315789,0.937125748502994,0.8790322580645161,0.305546801134573,0.31662312214239063,14,313,21,24
0.31,0.34210526315789475,0.9461077844311377,0.8844086021505376,0.28821304758903254,0.31382978723404265,13,316,18,25
0.32,0.3157894736842105,0.9461077844311377,0.8817204301075269,0.26189725811534825,0.2888425443169968,12,316,18,26
0.33,0.2631578947368421,0.9520958083832335,0.8817204301075269,0.21525370312007563,0.25027482594356903,10,318,16,28
0.34,0.2631578947368421,0.9550898203592815,0.8844086021505376,0.2182477150961235,0.25724368499257033,10,319,15,28
0.35000000000000003,0.2631578947368421,0.9580838323353293,0.8870967741935484,0.22124172707217138,0.26440677966101694,10,320,14,28
0.36000000000000004,0.23684210526315788,0.9700598802395209,0.8951612903225806,0.2069019855026788,0.2657894736842103,9,324,10,29
0.37,0.23684210526315788,0.9790419161676647,0.9032258064516129,0.21588402143082264,0.2903772785078424,9,327,7,29
0.38,0.23684210526315788,0.9850299401197605,0.9086021505376344,0.22187204538291838,0.3080962800875269,9,329,5,29
0.39,0.21052631578947367,0.9880239520958084,0.9086021505376344,0.19855026788528196,0.2849389416553591,8,330,4,30
0.4,0.15789473684210525,0.9910179640718563,0.9059139784946236,0.14891270091396147,0.22499999999999998,6,331,3,32
0.41000000000000003,0.15789473684210525,0.9940119760479041,0.9086021505376344,0.15190671289000934,0.23364032961706216,6,332,2,32
0.42000000000000004,0.15789473684210525,0.9970059880239521,0.9112903225806451,0.15490072486605744,0.24259624876604147,6,333,1,32
0.43,0.13157894736842105,0.9970059880239521,0.9086021505376344,0.12858493539237315,0.20512820512820482,5,333,1,33
0.44,0.13157894736842105,0.9970059880239521,0.9086021505376344,0.12858493539237315,0.20512820512820482,5,333,1,33
0.45,0.13157894736842105,0.9970059880239521,0.9086021505376344,0.12858493539237315,0.20512820512820482,5,333,1,33
0.46,0.13157894736842105,0.9970059880239521,0.9086021505376344,0.12858493539237315,0.20512820512820482,5,333,1,33
0.47000000000000003,0.13157894736842105,0.9970059880239521,0.9086021505376344,0.12858493539237315,0.20512820512820482,5,333,1,33
0.48000000000000004,0.07894736842105263,0.9970059880239521,0.9032258064516129,0.07595335644500478,0.1258485639686682,3,333,1,35
0.49,0.07894736842105263,0.9970059880239521,0.9032258064516129,0.07595335644500478,0.1258485639686682,3,333,1,35
0.5,0.07894736842105263,0.9970059880239521,0.9032258064516129,0.07595335644500478,0.1258485639686682,3,333,1,35
0.51,0.07894736842105263,0.9970059880239521,0.9032258064516129,0.07595335644500478,0.1258485639686682,3,333,1,35
0.52,0.07894736842105263,0.9970059880239521,0.9032258064516129,0.07595335644500478,0.1258485639686682,3,333,1,35
0.53,0.05263157894736842,0.9970059880239521,0.9005376344086021,0.04963756697132049,0.08386581469648499,2,333,1,36
0.54,0.05263157894736842,0.9970059880239521,0.9005376344086021,0.04963756697132049,0.08386581469648499,2,333,1,36
0.55,0.05263157894736842,0.9970059880239521,0.9005376344086021,0.04963756697132049,0.08386581469648499,2,333,1,36
0.56,0.05263157894736842,0.9970059880239521,0.9005376344086021,0.04963756697132049,0.08386581469648499,2,333,1,36
0.5700000000000001,0.05263157894736842,0.9970059880239521,0.9005376344086021,0.04963756697132049,0.08386581469648499,2,333,1,36
0.5800000000000001,0.05263157894736842,0.9970059880239521,0.9005376344086021,0.04963756697132049,0.08386581469648499,2,333,1,36
0.59,0.05263157894736842,0.9970059880239521,0.9005376344086021,0.04963756697132049,0.08386581469648499,2,333,1,36
0.6,0.05263157894736842,1,0.9032258064516129,0.05263157894736836,0.09071156979902212,2,334,0,36
0.61,0.05263157894736842,1,0.9032258064516129,0.05263157894736836,0.09071156979902212,2,334,0,36
0.62,0.05263157894736842,1,0.9032258064516129,0.05263157894736836,0.09071156979902212,2,334,0,36
0.63,0.02631578947368421,1,0.9005376344086021,0.026315789473684292,0.04628603104212802,1,334,0,37
0.64,0,1,0.8978494623655914,0,0,0,334,0,38
0.65,0,1,0.8978494623655914,0,0,0,334,0,38
0.66,0,1,0.8978494623655914,0,0,0,334,0,38
0.67,0,1,0.8978494623655914,0,0,0,334,0,38
0.68,0,1,0.8978494623655914,0,0,0,334,0,38
0.6900000000000001,0,1,0.8978494623655914,0,0,0,334,0,38
0.7000000000000001,0,1,0.8978494623655914,0,0,0,334,0,38
0.7100000000000001,0,1,0.8978494623655914,0,0,0,334,0,38
0.72,0,1,0.8978494623655914,0,0,0,334,0,38
0.73,0,1,0.8978494623655914,0,0,0,334,0,38
0.74,0,1,0.8978494623655914,0,0,0,334,0,38
0.75,0,1,0.8978494623655914,0,0,0,334,0,38
0.76,0,1,0.8978494623655914,0,0,0,334,0,38
0.77,0,1,0.8978494623655914,0,0,0,334,0,38
0.78,0,1,0.8978494623655914,0,0,0,334,0,38
0.79,0,1,0.8978494623655914,0,0,0,334,0,38
0.8,0,1,0.8978494623655914,0,0,0,334,0,38
0.81,0,1,0.8978494623655914,0,0,0,334,0,38
0.8200000000000001,0,1,0.8978494623655914,0,0,0,334,0,38
0.8300000000000001,0,1,0.8978494623655914,0,0,0,334,0,38
