lon,lat,pa,tipo,pred,modelo,n_modelos
-67.75,0.9166666666666696,0,background,3.786705732898063e-7,GLM,1
-72.08333333333333,-7.916666666666664,0,background,0.06082504029622827,GLM,1
-57.25,-2.0833333333333304,0,background,0.27145217941237526,GLM,1
-69.41666666666667,0.25000000000000266,0,background,1.4572565932332248e-6,GLM,1
-69.41666666666667,-0.7499999999999973,0,background,7.881838780073994e-5,GLM,1
-53.91666666666667,-2.4166666666666643,0,background,0.1789021035705821,GLM,1
-58.75,-6.2499999999999964,0,background,0.02733994732730349,GLM,1
-59.41666666666667,-9.416666666666664,0,background,0.10702780961628688,GLM,1
-52.25,-8.08333333333333,0,background,5.071567123999175e-4,GLM,1
-66.41666666666667,-9.749999999999996,0,background,0.16076261447165988,GLM,1
-70.08333333333333,-10.749999999999996,0,background,0.01085537631004601,GLM,1
-55.083333333333336,-5.7499999999999964,0,background,0.00759619111975978,GLM,1
-61.91666666666667,-1.4166666666666643,0,background,0.10747657492682504,GLM,1
-48.41666666666667,-2.2499999999999973,0,background,0.245173575203467,GLM,1
-53.583333333333336,-1.2499999999999971,0,background,0.22219036851848867,GLM,1
-48.583333333333336,-6.08333333333333,0,background,0.00174228186195516,GLM,1
-52.583333333333336,-10.08333333333333,0,background,0.00291719767819055,GLM,1
-64.08333333333333,-0.24999999999999736,0,background,0.02221659631428283,GLM,1
-52.41666666666667,-10.416666666666664,0,background,0.01032953813995514,GLM,1
-58.75,-3.0833333333333304,0,background,0.22812071725737085,GLM,1
-49.083333333333336,-6.916666666666664,0,background,0.01679718774083047,GLM,1
-61.25,4.083333333333336,0,background,0.17577459962066855,GLM,1
-50.91666666666667,-4.916666666666664,0,background,0.00417267370047939,GLM,1
-50.91666666666667,-6.58333333333333,0,background,9.222022191351248e-4,GLM,1
-55.25,-8.58333333333333,0,background,0.06278648869302625,GLM,1
-58.91666666666667,-10.08333333333333,0,background,0.09370457888424812,GLM,1
-66.25,0.25000000000000266,0,background,0.00758325865381603,GLM,1
-60.25,-7.08333333333333,0,background,0.01069490623392134,GLM,1
-60.583333333333336,2.916666666666669,0,background,0.03403595051981877,GLM,1
-57.25,-9.249999999999996,0,background,0.01497953741969169,GLM,1
-58.41666666666667,0.5833333333333357,0,background,0.03068071997775249,GLM,1
-69.41666666666667,-5.7499999999999964,0,background,0.05027968458613288,GLM,1
-58.91666666666667,-4.916666666666664,0,background,0.11849981925780928,GLM,1
-55.583333333333336,-10.916666666666664,0,background,0.00195247979465037,GLM,1
-58.91666666666667,-6.08333333333333,0,background,0.0315575756566262,GLM,1
-64.08333333333333,-1.2499999999999971,0,background,0.00242392796458781,GLM,1
-64.91666666666667,-3.916666666666664,0,background,0.02548245501027718,GLM,1
-49.75,-7.08333333333333,0,background,0.06427984799981887,GLM,1
-56.083333333333336,-11.583333333333329,0,background,0.00219874599857606,GLM,1
