modelo,AUC,especificidade,sensibilidade,fpr,n,presencas,background,rotulo
BRT,0.8382445635045698,0.7305389221556886,0.868421052631579,0.2694610778443114,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.7275449101796407,0.868421052631579,0.27245508982035926,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.7245508982035929,0.868421052631579,0.27544910179640714,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.7215568862275449,0.868421052631579,0.2784431137724551,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.718562874251497,0.868421052631579,0.281437125748503,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.7155688622754491,0.868421052631579,0.28443113772455086,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.7125748502994012,0.868421052631579,0.28742514970059885,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.7095808383233533,0.868421052631579,0.2904191616766467,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.7065868263473054,0.868421052631579,0.2934131736526946,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.7035928143712575,0.868421052631579,0.29640718562874246,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.7005988023952096,0.868421052631579,0.29940119760479045,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.6976047904191617,0.868421052631579,0.3023952095808383,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.6946107784431138,0.868421052631579,0.3053892215568862,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.6916167664670658,0.868421052631579,0.3083832335329342,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.688622754491018,0.868421052631579,0.31137724550898205,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.6856287425149701,0.868421052631579,0.3143712574850299,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.6826347305389222,0.868421052631579,0.3173652694610778,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.6796407185628742,0.868421052631579,0.3203592814371258,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.6766467065868264,0.868421052631579,0.32335329341317365,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.6736526946107785,0.868421052631579,0.3263473053892215,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.6706586826347305,0.868421052631579,0.3293413173652695,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.6676646706586826,0.868421052631579,0.3323353293413174,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.6646706586826348,0.868421052631579,0.33532934131736525,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.6616766467065869,0.868421052631579,0.3383233532934131,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.6586826347305389,0.868421052631579,0.3413173652694611,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.655688622754491,0.868421052631579,0.344311377245509,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.6526946107784432,0.868421052631579,0.34730538922155685,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.6497005988023952,0.868421052631579,0.35029940119760483,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.6467065868263473,0.868421052631579,0.3532934131736527,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.6437125748502994,0.868421052631579,0.3562874251497006,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.6407185628742516,0.868421052631579,0.35928143712574845,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.6377245508982036,0.868421052631579,0.36227544910179643,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.6347305389221557,0.868421052631579,0.3652694610778443,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.6317365269461078,0.868421052631579,0.3682634730538922,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.6287425149700598,0.868421052631579,0.37125748502994016,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.625748502994012,0.868421052631579,0.37425149700598803,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.6227544910179641,0.868421052631579,0.3772455089820359,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.6197604790419161,0.868421052631579,0.3802395209580839,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.6167664670658682,0.868421052631579,0.38323353293413176,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.6137724550898204,0.868421052631579,0.38622754491017963,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.6107784431137725,0.868421052631579,0.3892215568862275,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.6077844311377245,0.868421052631579,0.3922155688622755,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.6047904191616766,0.868421052631579,0.39520958083832336,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.6017964071856288,0.868421052631579,0.39820359281437123,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.5988023952095808,0.868421052631579,0.4011976047904192,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.5958083832335329,0.868421052631579,0.4041916167664671,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.5958083832335329,0.8947368421052632,0.4041916167664671,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.592814371257485,0.8947368421052632,0.40718562874251496,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.5898203592814372,0.8947368421052632,0.41017964071856283,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.5868263473053892,0.8947368421052632,0.4131736526946108,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.5838323353293413,0.8947368421052632,0.4161676646706587,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.5808383233532934,0.8947368421052632,0.41916167664670656,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.5778443113772455,0.8947368421052632,0.42215568862275454,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.5748502994011976,0.8947368421052632,0.4251497005988024,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.5718562874251497,0.8947368421052632,0.4281437125748503,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.5688622754491018,0.8947368421052632,0.43113772455089816,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.5658682634730539,0.8947368421052632,0.43413173652694614,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.562874251497006,0.8947368421052632,0.437125748502994,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.5598802395209581,0.8947368421052632,0.4401197604790419,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.5568862275449101,0.8947368421052632,0.44311377245508987,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.5538922155688623,0.8947368421052632,0.44610778443113774,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.5508982035928144,0.8947368421052632,0.4491017964071856,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.5479041916167665,0.8947368421052632,0.4520958083832335,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.5449101796407185,0.8947368421052632,0.45508982035928147,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.5419161676646707,0.8947368421052632,0.45808383233532934,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.5389221556886228,0.8947368421052632,0.4610778443113772,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.5359281437125748,0.8947368421052632,0.4640718562874252,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.5329341317365269,0.8947368421052632,0.46706586826347307,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.5299401197604791,0.8947368421052632,0.47005988023952094,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.5269461077844312,0.8947368421052632,0.4730538922155688,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.5239520958083832,0.8947368421052632,0.4760479041916168,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.5209580838323353,0.8947368421052632,0.47904191616766467,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.5179640718562875,0.8947368421052632,0.48203592814371254,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.5149700598802395,0.8947368421052632,0.4850299401197605,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.5119760479041916,0.8947368421052632,0.4880239520958084,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.5089820359281437,0.8947368421052632,0.49101796407185627,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.5059880239520959,0.8947368421052632,0.49401197604790414,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.5029940119760479,0.8947368421052632,0.49700598802395213,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.5,0.8947368421052632,0.5,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.49700598802395207,0.8947368421052632,0.5029940119760479,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.4940119760479042,0.8947368421052632,0.5059880239520957,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.49101796407185627,0.8947368421052632,0.5089820359281437,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.4880239520958084,0.8947368421052632,0.5119760479041916,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.48502994011976047,0.8947368421052632,0.5149700598802396,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.4820359281437126,0.8947368421052632,0.5179640718562875,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.47904191616766467,0.8947368421052632,0.5209580838323353,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.47604790419161674,0.8947368421052632,0.5239520958083832,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.47305389221556887,0.8947368421052632,0.5269461077844311,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.47005988023952094,0.8947368421052632,0.5299401197604791,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.46706586826347307,0.8947368421052632,0.5329341317365269,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.46407185628742514,0.8947368421052632,0.5359281437125749,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.46107784431137727,0.8947368421052632,0.5389221556886228,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.45808383233532934,0.8947368421052632,0.5419161676646707,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.4550898203592814,0.8947368421052632,0.5449101796407185,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.45209580838323354,0.8947368421052632,0.5479041916167664,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.4491017964071856,0.8947368421052632,0.5508982035928144,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.44610778443113774,0.8947368421052632,0.5538922155688623,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.4431137724550898,0.8947368421052632,0.5568862275449102,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.44011976047904194,0.8947368421052632,0.5598802395209581,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.437125748502994,0.8947368421052632,0.562874251497006,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.4341317365269461,0.8947368421052632,0.5658682634730539,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.4311377245508982,0.8947368421052632,0.5688622754491017,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.4281437125748503,0.8947368421052632,0.5718562874251497,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.4251497005988024,0.8947368421052632,0.5748502994011976,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.4221556886227545,0.8947368421052632,0.5778443113772456,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.41916167664670656,0.8947368421052632,0.5808383233532934,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.4161676646706587,0.8947368421052632,0.5838323353293413,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.41317365269461076,0.8947368421052632,0.5868263473053892,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.4101796407185629,0.8947368421052632,0.5898203592814371,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.40718562874251496,0.8947368421052632,0.592814371257485,372,38,334,BRT (AUC = 0.838)
BRT,0.8382445635045698,0.4041916167664671,0.8947368421052632,0.5958083832335329,372,38,334,BRT (AUC = 0.838)
