lon,lat,bio3_isotermalidade,bio4_sazonalidade_temperatura,bio5_temp_max_mes_quente,bio8_temp_media_trimestre_umido,bio12_precipitacao_anual,bio13_precipitacao_mes_umido,bio14_precipitacao_mes_seco,bio18_precipitacao_trimestre_quente,bio19_precipitacao_trimestre_frio,tipo
-63.25,3.916666666666669,88.14109802246094,41.23947525024414,30.1252498626709,23.6197509765625,2752,392,84,610,1099,Background amazônico
-61.75,-7.08333333333333,75.08538818359375,34.56058120727539,33.262001037597656,26.0778751373291,2412,346,35,532,278,Background amazônico
-47.25,-2.9166666666666643,83.94615936279297,43.42808532714844,31.628250122070313,25.443208694458008,1947,384,46,254,950,Background amazônico
-52.25,-2.7499999999999964,82.1227035522461,56.18217086791992,32.280250549316406,25.436458587646484,1984,349,37,144,876,Background amazônico
-47.75,-1.9166666666666643,85.370361328125,42.9491081237793,31.5570011138916,25.78354263305664,2247,431,57,233,1115,Background amazônico
-53.91666666666667,-3.4166666666666643,79.39440155029297,52.688655853271484,31.072500228881836,24.802583694458008,1674,299,39,172,751,Background amazônico
-59.75,-14.416666666666664,69.66454315185547,129.40185546875,33.1150016784668,26.208791732788086,1672,295,11,572,91,Background amazônico
-56.083333333333336,1.2500000000000027,79.27461242675781,55.62102508544922,32.141998291015625,25.47516632080078,1991,365,53,187,543,Background amazônico
-61.75,0.7500000000000027,86.0831069946289,47.17642593383789,32.5260009765625,26.35033416748047,1989,317,77,288,780,Background amazônico
-45.41666666666667,-1.2499999999999973,83.18165588378906,38.415687561035156,31.489473342895508,26.306140899658203,2186,446,6,72,1159,Background amazônico
-48.91666666666667,-7.7499999999999964,69.99549102783203,53.78687286376953,35.05125045776367,25.324291229248047,1838,289,11,276,826,Background amazônico
-49.75,-6.7499999999999964,71.626922607421875,50.59905242919922,34.44525146484375,24.882707595825195,1857,282,19,298,733,Background amazônico
-61.91666666666667,-10.916666666666664,69.42344665527344,57.052947998046875,33.96799850463867,24.853500366210938,2111,382,13,313,116,Background amazônico
-65.08333333333333,-7.416666666666664,77.30987548828125,36.76115036010742,32.80924987792969,26.209083557128906,2587,340,40,607,304,Background amazônico
-50.083333333333336,-8.416666666666664,70.482635498046875,44.82184600830078,34.98175048828125,25.447834014892578,1891,281,10,290,814,Background amazônico
-67.91666666666667,-5.2499999999999964,81.69038391113281,38.4572868347168,31.616750717163086,25.957042694091797,2651,331,87,599,324,Background amazônico
-62.583333333333336,-7.2499999999999964,74.40872955322266,38.93219757080078,33.13249969482422,25.80154037475586,2190,326,29,317,246,Background amazônico
-54.91666666666667,-9.58333333333333,65.4479751586914,64.363250732421875,35.274749755859375,25.34754180908203,2275,355,8,145,1006,Background amazônico
-61.75,-9.08333333333333,70.72955322265625,41.407501220703125,33.20124816894531,25.265249252319336,2267,336,18,333,165,Background amazônico
-56.91666666666667,-13.749999999999996,76.762664794921875,78.79331970214844,31.764999389648438,24.62966537475586,1935,323,4,752,42,Background amazônico
-46.75,-4.2499999999999964,80.62259674072266,48.187652587890625,32.026248931884766,25.154541015625,1494,304,16,161,761,Background amazônico
