lon,lat,classe,classe_nome
-52.916666666666664,1.0833333333333335,3,Alta
-52.75,1.0833333333333335,4,Muito alta
-52.58333333333333,1.0833333333333335,4,Muito alta
-52.416666666666664,1.0833333333333335,4,Muito alta
-52.25,1.0833333333333335,4,Muito alta
-52.08333333333333,1.0833333333333335,4,Muito alta
-51.916666666666664,1.0833333333333335,4,Muito alta
-51.75,1.0833333333333335,4,Muito alta
-51.58333333333333,1.0833333333333335,4,Muito alta
-51.416666666666664,1.0833333333333335,4,Muito alta
-51.25,1.0833333333333335,4,Muito alta
-51.08333333333333,1.0833333333333335,4,Muito alta
-50.916666666666664,1.0833333333333335,3,Alta
-50.75,1.0833333333333335,3,Alta
-50.58333333333333,1.0833333333333335,2,Moderada
-50.416666666666664,1.0833333333333335,2,Moderada
-50.25,1.0833333333333335,3,Alta
-50.08333333333333,1.0833333333333335,4,Muito alta
-63.916666666666664,0.916666666666667,1,Baixa
-63.74999999999999,0.916666666666667,1,Baixa
-63.58333333333333,0.916666666666667,2,Moderada
-63.416666666666664,0.916666666666667,1,Baixa
-63.24999999999999,0.916666666666667,1,Baixa
-63.08333333333333,0.916666666666667,2,Moderada
-62.916666666666664,0.916666666666667,2,Moderada
-62.75,0.916666666666667,2,Moderada
-62.58333333333333,0.916666666666667,2,Moderada
-62.416666666666664,0.916666666666667,2,Moderada
-62.25,0.916666666666667,2,Moderada
-62.08333333333333,0.916666666666667,3,Alta
-61.916666666666664,0.916666666666667,2,Moderada
-61.75,0.916666666666667,2,Moderada
-61.58333333333333,0.916666666666667,2,Moderada
-61.416666666666664,0.916666666666667,2,Moderada
-61.25,0.916666666666667,1,Baixa
-61.08333333333333,0.916666666666667,1,Baixa
-60.916666666666664,0.916666666666667,2,Moderada
-60.75,0.916666666666667,1,Baixa
-60.58333333333333,0.916666666666667,2,Moderada
-60.416666666666664,0.916666666666667,2,Moderada
-60.25,0.916666666666667,2,Moderada
-60.08333333333333,0.916666666666667,2,Moderada
-59.916666666666664,0.916666666666667,2,Moderada
-59.75,0.916666666666667,2,Moderada
-59.58333333333333,0.916666666666667,2,Moderada
-59.416666666666664,0.916666666666667,1,Baixa
-59.25,0.916666666666667,1,Baixa
-59.08333333333333,0.916666666666667,1,Baixa
-58.916666666666664,0.916666666666667,1,Baixa
-58.75,0.916666666666667,1,Baixa
-58.58333333333333,0.916666666666667,1,Baixa
-58.416666666666664,0.916666666666667,1,Baixa
-58.25,0.916666666666667,1,Baixa
-58.08333333333333,0.916666666666667,1,Baixa
-57.916666666666664,0.916666666666667,1,Baixa
-57.75,0.916666666666667,1,Baixa
-57.58333333333333,0.916666666666667,1,Baixa
-57.416666666666664,0.916666666666667,1,Baixa
-57.25,0.916666666666667,1,Baixa
-57.08333333333333,0.916666666666667,1,Baixa
-56.916666666666664,0.916666666666667,1,Baixa
-56.75,0.916666666666667,1,Baixa
-56.58333333333333,0.916666666666667,2,Moderada
-56.416666666666664,0.916666666666667,1,Baixa
-56.25,0.916666666666667,1,Baixa
-56.08333333333333,0.916666666666667,1,Baixa
-55.916666666666664,0.916666666666667,1,Baixa
-55.75,0.916666666666667,2,Moderada
-55.58333333333333,0.916666666666667,2,Moderada
-55.416666666666664,0.916666666666667,1,Baixa
-55.25,0.916666666666667,1,Baixa
-55.08333333333333,0.916666666666667,1,Baixa
-54.916666666666664,0.916666666666667,1,Baixa
-54.75,0.916666666666667,1,Baixa
-54.58333333333333,0.916666666666667,2,Moderada
-54.416666666666664,0.916666666666667,2,Moderada
-54.25,0.916666666666667,2,Moderada
-54.08333333333333,0.916666666666667,2,Moderada
-53.916666666666664,0.916666666666667,3,Alta
-53.75,0.916666666666667,2,Moderada
-53.58333333333333,0.916666666666667,2,Moderada
-53.416666666666664,0.916666666666667,3,Alta
-53.25,0.916666666666667,3,Alta
-53.08333333333333,0.916666666666667,4,Muito alta
-52.916666666666664,0.916666666666667,3,Alta
-52.75,0.916666666666667,4,Muito alta
-52.58333333333333,0.916666666666667,4,Muito alta
-52.416666666666664,0.916666666666667,4,Muito alta
-52.25,0.916666666666667,4,Muito alta
-52.08333333333333,0.916666666666667,4,Muito alta
-51.916666666666664,0.916666666666667,4,Muito alta
-51.75,0.916666666666667,4,Muito alta
-51.58333333333333,0.916666666666667,4,Muito alta
-51.416666666666664,0.916666666666667,4,Muito alta
-51.25,0.916666666666667,3,Alta
-51.08333333333333,0.916666666666667,3,Alta
-50.916666666666664,0.916666666666667,3,Alta
-50.75,0.916666666666667,3,Alta
-50.58333333333333,0.916666666666667,3,Alta
-50.416666666666664,0.916666666666667,2,Moderada
-50.25,0.916666666666667,3,Alta
-64.25,0.75,1,Baixa
-64.08333333333333,0.75,1,Baixa
-63.916666666666664,0.75,1,Baixa
-63.74999999999999,0.75,1,Baixa
-63.58333333333333,0.75,1,Baixa
-63.416666666666664,0.75,1,Baixa
-63.24999999999999,0.75,2,Moderada
