lon,lat,bio4_sazonalidade_temperatura,bio5_temp_max_mes_quente,bio12_precipitacao_anual,bio14_precipitacao_mes_seco,bio18_precipitacao_trimestre_quente,elevacao,declividade,pa,tipo
-55.75,-10.583333333333332,48.14689636230469,35.580501556396484,2030,6,296,287,0.05560502782464027,0,Background
-60.08333333333333,-11.583333333333332,67.54740905761719,32.53824996948242,1912,6,424,341,0.06754001975059509,0,Background
-55.416666666666664,-0.4166666666666661,61.7241096496582,31.49799919128418,2400,93,315,358,0.188553050160408,0,Background
-64.25,-5.083333333333332,27.648704528808594,32.282501220703125,2523,76,562,73,0.01752089522778988,0,Background
-53.75,-10.75,48.44344711303711,34.86199951171875,2205,3,334,347,0.02985204197466373,0,Background
-59.916666666666664,-5.416666666666666,37.96682357788086,32.92850112915039,2347,62,463,49,0.01090907398611307,0,Background
-65.75,-4.25,28.666934967041016,31.964500427246097,2529,104,521,93,0.0132353650406003,0,Background
-58.75,-11.916666666666664,78.35468292236328,32.794498443603516,1935,4,443,332,0.1064680740237236,0,Background
-52.25,-4.25,43.561622619628906,31.21525001525879,2007,36,184,203,0.05170021578669548,0,Background
-62.58333333333333,-7.583333333333332,40.31657791137695,33.124000549316406,2168,24,297,79,0.01235482841730117,0,Background
-51.416666666666664,-5.75,35.24718475341797,32.959251403808594,1855,20,327,210,0.1782008409500122,0,Background
-49.416666666666664,-0.916666666666666,58.8291015625,32.334251403808594,2807,35,133,10,0.01954680308699608,0,Background
-68.58333333333333,-10.75,89.38697052001953,31.838499069213867,1727,23,554,221,0.0414484366774559,0,Background
-53.75,-2.083333333333333,62.005218505859375,32.19824981689453,1660,24,96,6,0.08327135443687439,0,Background
-55.916666666666664,-0.4166666666666661,59.83009338378906,31.67124938964844,2470,107,341,321,0.1623273491859436,0,Background
-58.916666666666664,-2.916666666666666,54.82845306396485,32.37150192260742,2242,79,344,71,0.0707755982875824,0,Background
-54.416666666666664,-11.916666666666664,74.66835021972656,34.041500091552734,1815,1,451,337,0.03494889661669731,0,Background
-65.25,-10.583333333333332,65.14939880371094,33.87300109863281,1765,24,409,145,0.0558006577193737,0,Background
-56.416666666666664,-7.916666666666666,46.17740631103515,34.266998291015625,2131,13,300,306,0.18812011182308197,0,Background
-62.416666666666664,-6.75,35.56425476074219,33.13050079345703,2173,35,334,49,0.02103990502655506,0,Background
-52.75,-13.083333333333332,109.63340759277344,33.951499938964844,1603,1,383,338,0.02733439579606056,0,Background
-62.25,-7.083333333333332,36.18589401245117,33.213748931884766,2240,31,328,65,0.01057253777980804,0,Background
-65.58333333333333,-8.083333333333332,45.10822677612305,32.58774948120117,2261,24,541,110,0.02010104805231094,0,Background
-66.91666666666666,-5.25,35.86714172363281,31.852998733520508,2581,76,560,115,0.05317613482475281,0,Background
-65.41666666666666,-5.916666666666666,31.43644142150879,32.27750015258789,2845,78,608,86,0.01977996714413166,0,Background
-48.08333333333333,-2.583333333333333,39.67409133911133,31.618749618530273,2152,54,311,53,0.02761701121926307,0,Background
-60.75,-1.25,38.617061614990234,31.778499603271484,2383,133,430,85,0.05066491290926933,0,Background
-55.25,-12.083333333333332,70.67808532714844,33.79375076293945,1853,1,466,364,0.03706087544560432,0,Background
-53.916666666666664,-10.916666666666666,51.45984649658203,34.765750885009766,2127,2,548,333,0.04162919893860817,0,Background
-55.75,-7.75,49.07843399047851,34.33625030517578,2116,12,293,289,0.05960926413536072,0,Background
-68.75,-9.25,87.13687896728516,31.6197509765625,2048,36,783,172,0.0515897199511528,0,Background
-53.08333333333333,-0.25,61.44845199584961,31.8489990234375,2321,52,194,172,0.07961387932300568,0,Background
-51.08333333333333,-4.583333333333332,41.39386749267578,31.548749923706055,1851,30,202,214,0.0940498113632202,0,Background
-70.58333333333333,-8.75,65.45307159423828,30.940750122070313,2125,47,700,217,0.02066743001341819,0,Background
-58.08333333333333,-1.75,58.79511642456055,32.38475036621094,2282,73,271,126,0.07521350681781769,0,Background
-52.08333333333333,2.75,59.920650482177734,32.269248962402344,2645,56,246,173,0.03683819994330406,0,Background
-51.916666666666664,-1.916666666666666,51.76348876953125,32.22100067138672,2235,48,177,45,0.02352472953498363,0,Background
-47.58333333333333,-1.25,48.890403747558594,31.854000091552734,2407,26,121,41,0.01206097938120365,0,Background
-45.916666666666664,-3.916666666666666,57.84711456298828,32.872501373291016,1584,20,238,83,0.12666794657707214,0,Background
