lon,lat,GLM,GAM,RF,BRT,consenso_media,incerteza_sd
-60.75,3.7500000000000027,0.09996601939201355,0.09341983497142792,0.15783730149269104,0.11667652428150177,0.11697492003440857,0.028948045367834768
-60.583333333333336,3.7500000000000027,0.09899338334798813,0.10071506351232529,0.1224682554602623,0.07004588097333908,0.0980556458234787,0.021513362439398137
-60.41666666666667,3.7500000000000027,0.07150767743587494,0.07577890157699585,0.12658333778381348,0.0643201544880867,0.08454751782119274,0.028419960447145273
-60.25,3.7500000000000027,0.07012472301721573,0.0845276340842247,0.1948373019695282,0.1330432891845703,0.12063323706388474,0.05631748455523227
-60.083333333333336,3.7500000000000027,0.060976095497608185,0.07876024395227432,0.2388325333595276,0.19472850859165192,0.1433243453502655,0.0870133311979366
-59.91666666666667,3.7500000000000027,0.0411972850561142,0.057126931846141815,0.21476468443870544,0.136519655585289,0.11240213923156261,0.07996921296349983
-51.75,3.7500000000000027,0.5897639989852905,0.4794340431690216,0.4915047585964203,0.25344982743263245,0.4535381570458412,0.14224963902815485
-51.583333333333336,3.7500000000000027,0.5593836307525635,0.5299673676490784,0.40002182126045227,0.23255302011966705,0.4304814599454403,0.14901529267281072
-51.41666666666667,3.7500000000000027,0.425998330116272,0.5373706221580505,0.3943718373775482,0.24175243079662323,0.3998733051121235,0.12195696804997568
-51.25,3.7500000000000027,0.43354055285453796,0.5155898332595825,0.4225948452949524,0.2904987335205078,0.41555599123239517,0.09312908099405597
-63.91666666666667,3.5833333333333357,6.35737387710833e-6,0.0011679205344989896,0.03614801540970802,0.015620398335158825,0.013235672913310736,0.016845452315368267
-63.75,3.5833333333333357,1.9555034214135958e-06,0.0015029333299025893,0.14182500541210175,0.019983146339654922,0.04082826014627017,0.06794146942750755
-63.583333333333336,3.5833333333333357,1.4158990779833402e-6,0.0037068400997668505,0.09561587125062943,0.020229460671544075,0.029888396980254583,0.04469191382271643
-63.41666666666667,3.5833333333333357,0.0037859701551496983,0.02457641065120697,0.0475301593542099,0.02531491592526436,0.02530186402145773,0.01786577039304383
-63.25,3.5833333333333357,0.04442870616912842,0.049311455339193344,0.08397024124860764,0.043872516602277756,0.05539572983980179,0.019205738291469807
-63.083333333333336,3.5833333333333357,8.21162848296808e-6,0.008363936096429825,0.07179960608482361,0.036864906549453735,0.029259165089797534,0.03245389188928242
-62.91666666666667,3.5833333333333357,1.1350845258292427e-13,0.0024195255246013403,0.07496508210897446,0.029672889038920403,0.026764374168152427,0.03483662385495138
-62.75,3.5833333333333357,1.465764142005721e-11,0.005028798244893551,0.0538567453622818,0.020373648032546043,0.019814797913594757,0.024292787005838975
-62.583333333333336,3.5833333333333357,9.508040966466069e-4,0.025971492752432823,0.08992698043584824,0.07637565582990646,0.04830623327870853,0.04187901775220935
-62.41666666666667,3.5833333333333357,0.1398903727531433,0.16121557354927063,0.1514730155467987,0.12092916667461395,0.14337703213095665,0.01731879484419023
-62.25,3.5833333333333357,0.08241534978151321,0.1206892654299736,0.07163134962320328,0.04646899551153183,0.08030124008655548,0.030851525216611476
-62.083333333333336,3.5833333333333357,0.12130217254161835,0.13117718696594238,0.035069841891527176,0.03673509135842323,0.08107107318937778,0.052316207044958735
-61.91666666666667,3.5833333333333357,0.2512844204902649,0.28208062052726746,0.0897202417254448,0.05069993808865547,0.16844630520790815,0.11523441471316816
-61.75,3.5833333333333357,0.4102153480052948,0.44734689593315125,0.18950673937797546,0.14453227818012238,0.29790031537413597,0.15299223198766257
-61.583333333333336,3.5833333333333357,0.3281145691871643,0.35303929448127747,0.23341310024261475,0.22272081673145294,0.28432194516062737,0.06589455600027408
-61.41666666666667,3.5833333333333357,0.13323475420475006,0.18098311126232147,0.15831944346427917,0.1265290081501007,0.14976657927036285,0.024905884894229426
-61.25,3.5833333333333357,0.07234033197164536,0.11634732037782669,0.15568888187408447,0.09593325108289719,0.11007744632661343,0.03532639443933995
-61.083333333333336,3.5833333333333357,0.045668359845876694,0.08176301419734955,0.1409531682729721,0.08870396763086319,0.08927212748676538,0.0392807336881637
-60.91666666666667,3.5833333333333357,0.03314552083611488,0.06216881796717644,0.16213412582874298,0.10355841368436813,0.09025171957910061,0.055958066841961175
-60.75,3.5833333333333357,0.059826407581567764,0.07033156603574753,0.14834126830101013,0.10116342455148697,0.0949156666174531,0.039702911293553154
-60.583333333333336,3.5833333333333357,0.0716610699892044,0.07244589924812317,0.12280317395925522,0.05766785144805908,0.08114449866116047,0.02859020370153083
-60.41666666666667,3.5833333333333357,0.03962215036153793,0.05245177820324898,0.113731749355793,0.07517294585704803,0.07024465594440699,0.03250507489258816
-60.25,3.5833333333333357,0.044267162680625916,0.05170847475528717,0.14548254013061523,0.08849561214447021,0.08248844742774963,0.04623351983438454
-60.083333333333336,3.5833333333333357,0.027281831949949265,0.04233778268098831,0.14028294384479523,0.09448064863681793,0.07609580177813768,0.05157647818031392
-59.91666666666667,3.5833333333333357,0.012691466137766838,0.02502206154167652,0.13156944513320923,0.05591961368918419,0.056300646625459194,0.05337180192620557
-51.75,3.5833333333333357,0.5904725193977356,0.49543461203575134,0.5120460391044617,0.3362785875797272,0.48355793952941895,0.10657479699935324
-51.583333333333336,3.5833333333333357,0.6152121424674988,0.5513877868652344,0.536293625831604,0.43215683102607727,0.5337625965476036,0.07588327343304249
-51.41666666666667,3.5833333333333357,0.5383466482162476,0.6222138404846191,0.44532182812690735,0.24062471091747284,0.4616267569363117,0.16409540737890763
-51.25,3.5833333333333357,0.42773428559303284,0.5793659687042236,0.4115365147590637,0.18872441351413727,0.40184029564261436,0.16093296657519957
-63.91666666666667,3.416666666666669,6.797261562496715e-7,0.002608743030577898,0.04378849267959595,0.012854626402258873,0.014813135459647242,0.0200977869691405
-63.75,3.416666666666669,2.3250686354003847e-5,0.0017772598657757044,0.025581348687410355,0.010090554133057594,0.009368103343149414,0.011666739556137656
-63.583333333333336,3.416666666666669,3.2287689464283176e-6,0.00242230505682528,0.05181468278169632,0.016763685271143913,0.017750975469652985,0.02388347788293661
