lon,lat,pa,tipo,pred_brt,pred_bin_brt
-60.17,-2.63,1,presenca,0.07484976184214122,0
-66.08333333333333,-9.08333333333333,0,background,0.05842517362885371,0
-63.75,0.4166666666666696,0,background,0.031690024393439445,0
-65.75,-4.416666666666664,0,background,0.03965565216752862,0
-72.91666666666667,-7.416666666666664,0,background,0.019703695832851115,0
-63.75,-11.083333333333329,0,background,0.015318762070665883,0
-53.25,2.0833333333333357,0,background,0.08662044607129657,1
-57.91666666666667,-10.916666666666664,0,background,0.025682498502184837,0
-67.91666666666667,-6.916666666666664,0,background,0.08184626601077069,1
-51.083333333333336,-7.2499999999999964,0,background,0.01217839489429163,0
-71.08333333333333,-6.2499999999999964,0,background,0.010255381325358661,0
-67.41666666666667,-1.2499999999999971,0,background,0.013724411591188002,0
-56.91666666666667,-12.916666666666664,0,background,0.017436257406830163,0
-50.583333333333336,0.25000000000000266,0,background,0.02860136188755146,0
-55.75,1.9166666666666692,0,background,0.0887834903708037,1
-60.583333333333336,1.9166666666666692,0,background,0.09289432790682459,1
-61.75,-1.7499999999999971,0,background,0.031092234002261146,0
-63.583333333333336,-1.0833333333333304,0,background,0.028409014307177353,0
-60.583333333333336,3.5833333333333357,0,background,0.057667851275809076,0
-67.08333333333333,-0.7499999999999973,0,background,0.013887191112212269,0
-67.41666666666667,-2.4166666666666643,0,background,0.013014336024686065,0
-52.083333333333336,-9.58333333333333,0,background,0.014452620097277049,0
-67.75,-7.916666666666664,0,background,0.08679499811598004,1
-56.75,-3.2499999999999964,0,background,0.13941843797524534,1
-51.41666666666667,4.083333333333336,0,background,0.20626618742156044,1
-51.083333333333336,-7.08333333333333,0,background,0.010740421276195782,0
-68.25,-2.9166666666666643,0,background,0.015392977819988706,0
-52.91666666666667,-1.5833333333333304,0,background,0.08808484479855117,1
-45.91666666666667,-1.2499999999999971,0,background,0.018009520482068993,0
-61.25,2.7500000000000027,0,background,0.06386701387089606,0
-66.08333333333333,-8.08333333333333,0,background,0.10521041138282768,1
-53.25,-6.2499999999999964,0,background,0.00924202529276978,0
-65.08333333333333,-7.416666666666664,0,background,0.025814358933920003,0
-61.75,-9.08333333333333,0,background,0.09161211962091305,1
-64.91666666666667,-2.7499999999999964,0,background,0.017605008213444663,0
-52.91666666666667,-3.916666666666664,0,background,0.06478498902967145,0
-55.75,-0.08333333333333037,0,background,0.06600081422292096,0
-67.91666666666667,-2.0833333333333304,0,background,0.01626038224787351,0
-65.75,-8.249999999999996,0,background,0.23400878387205537,1
-52.083333333333336,-4.2499999999999964,0,background,0.04225784956143752,0
-61.583333333333336,3.5833333333333357,0,background,0.22272081635114382,1
-67.41666666666667,-3.2499999999999964,0,background,0.01235369924885725,0
-59.583333333333336,-8.416666666666664,0,background,0.06611031287616899,0
-51.25,-8.416666666666664,0,background,0.013709117343090283,0
-54.75,-7.416666666666664,0,background,0.019551735783450937,0
-61.75,-10.58333333333333,0,background,0.029190724265984087,0
-70.58333333333333,-6.08333333333333,0,background,0.017702022154854787,0
-72.08333333333333,-6.2499999999999964,0,background,0.02523258970369118,0
-55.583333333333336,-4.7499999999999964,0,background,0.05358415688007826,0
-60.75,-5.916666666666664,0,background,0.027510702222883706,0
-48.41666666666667,-2.9166666666666643,0,background,0.3458402969362982,1
-60.083333333333336,-12.083333333333329,0,background,0.031205991971565265,0
-61.75,-7.2499999999999964,0,background,0.06999710134565255,0
-51.583333333333336,-6.08333333333333,0,background,0.010337027349835942,0
-58.083333333333336,-2.0833333333333304,0,background,0.10341267906909518,1
-54.083333333333336,-1.4166666666666643,0,background,0.20323789112202548,1
-69.41666666666667,-4.7499999999999964,0,background,0.0181794890522967,0
-45.75,-2.2499999999999973,0,background,0.024468027195341354,0
-67.08333333333333,-9.58333333333333,0,background,0.04622799267456771,0
-61.583333333333336,-11.583333333333329,0,background,0.02530211470049096,0
-54.75,-7.7499999999999964,0,background,0.02393148245910449,0
-62.25,-5.58333333333333,0,background,0.02862037739841698,0
-68.41666666666667,-2.2499999999999973,0,background,0.020497074665449463,0
-67.75,-7.2499999999999964,0,background,0.23284941892442995,1
-54.41666666666667,-8.249999999999996,0,background,0.0201466367438429,0
-47.41666666666667,-2.2499999999999973,0,background,0.13074360309046895,1
-69.75,-6.2499999999999964,0,background,0.02163466212420354,0
-57.91666666666667,-2.2499999999999973,0,background,0.1635382053539036,1
-60.25,-9.08333333333333,0,background,0.05894861135852016,0
-65.25,-10.416666666666664,0,background,0.07706596076649214,0
-62.083333333333336,-11.749999999999996,0,background,0.025040251176895213,0
-58.91666666666667,-10.749999999999996,0,background,0.022549174754928722,0
-67.58333333333333,-7.416666666666664,0,background,0.20172255993334248,1
-62.083333333333336,-12.416666666666664,0,background,0.027217112770673187,0
-63.583333333333336,0.25000000000000266,0,background,0.03598193687246027,0
-57.75,-5.08333333333333,0,background,0.05861552934855332,0
