lon,lat,bio3_isotermalidade,bio4_sazonalidade_temperatura,bio5_temp_max_mes_quente,bio8_temp_media_trimestre_umido,bio12_precipitacao_anual,bio13_precipitacao_mes_umido,bio14_precipitacao_mes_seco,bio18_precipitacao_trimestre_quente,bio19_precipitacao_trimestre_frio,elevacao,declividade,orientacao,GLM,GAM,Random_Forest,BRT,Maxent
-59.91666666666667,-6.2499999999999964,75.740264892578125,35.89140701293945,33.029502868652344,26.199874877929688,2250.76611328125,311.34600830078125,39.88600158691406,505.385986328125,899.34600830078125,72,0.061229757964611053,291.20941162109375,0.022472637164272866,0.02460045070551252,0.020547619047619044,0.02535902013236814,0.3012425925617872
-59.75,-6.2499999999999964,75.44896697998047,36.46744155883789,32.89550018310547,26.032625198364258,2202.74609375,304.4859924316406,36.94599914550781,490.6860046386719,884.64599609375,105,0.05139120668172836,304.5520935058594,0.023159898126015623,0.02648087297089116,0.02328412698412698,0.02864903338705987,0.283397701966981
-59.583333333333336,-6.2499999999999964,74.87141418457031,36.536617279052734,32.91625213623047,26.030000686645508,2166.486083984375,298.6059875488281,36.94599914550781,475.9859924316406,872.885986328125,106,0.049368999898433685,1.3521168231964111,0.015277691049729767,0.030233089571195724,0.033875793650793656,0.044509841486975114,0.22293782040848475
-59.41666666666667,-6.2499999999999964,74.4603271484375,37.00830078125,32.95624923706055,26.043500900268555,2142.966064453125,294.6860046386719,35.965999603271484,466.1860046386719,869.94598388671875,106,0.047722794115543365,6.541132926940918,0.01710270605070078,0.03323196428282206,0.041504365079365085,0.0434214624026585,0.22716339478408376
-59.25,-6.2499999999999964,74.15630340576172,37.34067153930664,33.003501892089844,26.075584411621094,2136.10595703125,296.64599609375,34.986000061035156,459.32598876953125,870.926025390625,100,0.030537275597453117,36.702274322509766,0.01824878772488213,0.03463356743189121,0.031623809523809526,0.04329961639340118,0.23511219184564502
-59.083333333333336,-6.2499999999999964,73.7667465209961,37.825435638427734,33.0672492980957,26.134000778198242,2132.18603515625,298.6059875488281,34.00600051879883,454.4259948730469,874.84600830078125,90,0.045872434973716736,283.222900390625,0.03433249266865653,0.041206160959241546,0.045563888888888904,0.04860429521793663,0.31064213008768315
-58.91666666666667,-6.2499999999999964,73.30274963378906,38.12888717651367,32.92000198364258,25.938583374023438,2143.946044921875,303.5060119628906,33.0260009765625,451.4859924316406,885.6259765625,133,0.0825609341263771,280.5782165527344,0.03930523936436993,0.05010128512558701,0.023174999999999998,0.029708757179518146,0.286813841948679
-58.75,-6.2499999999999964,72.96229553222656,38.29786682128906,32.90625,25.914417266845703,2152.76611328125,308.406005859375,32.04600143432617,449.5260009765625,897.385986328125,143,0.07104779034852982,295.602294921875,0.03469169884368091,0.050043581170453925,0.015376190476190476,0.027993647540592893,0.2732733135519282
-58.583333333333336,-6.2499999999999964,72.68687438964844,38.73845291137695,32.745750427246094,25.730792999267578,2161.5859375,313.3059997558594,31.06599998474121,449.5260009765625,911.10601806640625,185,0.020629996433854103,356.76287841796875,0.016108026907313305,0.03511521999651648,0.05301904761904764,0.02015752248770785,0.21685017687135955
-58.41666666666667,-6.2499999999999964,72.52223205566406,38.789894104003906,33.007999420166016,26.041833877563477,2160.60595703125,318.20599365234375,29.106000900268555,444.6260070800781,921.885986328125,128,0.0633428618311882,123.51615142822266,0.0321449894836327,0.05616169940611295,0.012257142857142857,0.02770564354281425,0.2542777125964374
-58.25,-6.2499999999999964,72.24882507324219,39.057884216308594,33.074501037597656,26.10466766357422,2174.325927734375,321.14599609375,30.086000442504883,443.64599609375,932.666015625,122,0.09972956776618958,170.36167907714844,0.04757098201225371,0.0709466051492742,0.034690079365079354,0.05004264455355218,0.29195585146475933
-58.083333333333336,-6.2499999999999964,72.02161407470703,39.51785659790039,33.06575012207031,26.103958129882813,2186.0859375,326.0459899902344,29.106000900268555,444.6260070800781,946.385986328125,129,0.12243181467056274,179.09133911132813,0.05489936131658089,0.08077525621070832,0.031292857142857136,0.04183460053811871,0.30304282630120827
